# Pin Out For ECP5U-25,,,,,,,,,,
# Revision 1.1 - Include CABGA256 package,,,,,,,,,,
"# Revised Oct. 17, 2017",,,,,,,,,,
,,,,,,,,,,
PAD,Bank,Pin/Ball Function,,Dual Function,,High Speed,,DQS,DESC,CABGA256
1,7,PL2A,,,/,HS+,/,LDQ8,PL2A/HS+/LDQ8,B1
2,7,PL2B,,,/,HS-,/,LDQ8,PL2B/HS-/LDQ8,B2
4,7,PL2C,,,/,+,/,LDQ8,PL2C/+/LDQ8,C3
6,7,PL2D,,,/,-,/,LDQ8,PL2D/-/LDQ8,D3
7,7,PL5A,,,/,HS+,/,LDQ8,PL5A/HS+/LDQ8,C1
9,7,PL5C,,,/,-,/,LDQ8,PL5C/-/LDQ8,E3
10,7,PL5B,,,/,HS-,/,LDQ8,PL5B/HS-/LDQ8,C2
12,7,PL5D,,,/,-,/,LDQ8,PL5D/-/LDQ8,F3
13,7,PL8A,,,/,HS+,/,LDQS8,PL8A/HS+/LDQS8,D1
15,7,PL8C,,,/,+,/,LDQ8,PL8C/+/LDQ8,F4
16,7,PL8B,,,/,HS-,/,LDQSN8,PL8B/HS-/LDQSN8,E2
18,7,PL8D,,,/,-,/,LDQ8,PL8D/-/LDQ8,F5
19,7,PL11A,,,/,HS+,/,LDQ8,PL11A/HS+/LDQ8,G5
21,7,PL11C,,,/,-,/,LDQ8,PL11C/-/LDQ8,F2
22,7,PL11B,,,/,HS-,/,LDQ8,PL11B/HS-/LDQ8,G4
24,7,PL11D,,,/,-,/,LDQ8,PL11D/-/LDQ8,E1
25,7,PL14A,,,/,HS+,/,LDQ20,PL14A/HS+/LDQ20,F1
27,7,PL14C,/,VREF1_7,/,+,/,LDQ20,PL14C/VREF1_7/+/LDQ20,G3
28,7,PL14B,,,/,HS-,/,LDQ20,PL14B/HS-/LDQ20,G2
30,7,PL14D,,,/,-,/,LDQ20,PL14D/-/LDQ20,H3
31,7,PL17A,,,/,HS+,/,LDQ20,PL17A/HS+/LDQ20,H5
33,7,PL17C,,,/,+,/,LDQ20,PL17C/+/LDQ20,J4
34,7,PL17B,,,/,HS-,/,LDQ20,PL17B/HS-/LDQ20,H4
36,7,PL17D,,,/,-,/,LDQ20,PL17D/-/LDQ20,J5
37,7,PL20A,/,GR_PCLK7_1,/,HS+,/,LDQS20,PL20A/GR_PCLK7_1/HS+/LDQS20,G1
39,7,PL20C,/,GR_PCLK7_0,/,+,/,LDQ20,PL20C/GR_PCLK7_0/+/LDQ20,J3
40,7,PL20B,,,/,HS-,/,LDQSN20,PL20B/HS-/LDQSN20,H2
42,7,PL20D,,,/,-,/,LDQ20,PL20D/-/LDQ20,K3
43,7,PL23A,/,PCLKT7_1,/,HS+,/,LDQ20,PL23A/PCLKT7_1/HS+/LDQ20,J1
45,7,PL23C,/,PCLKT7_0,/,+,/,LDQ20,PL23C/PCLKT7_0/+/LDQ20,K1
46,7,PL23B,/,PCLKC7_1,/,HS-,/,LDQ20,PL23B/PCLKC7_1/HS-/LDQ20,J2
48,7,PL23D,/,PCLKC7_0,/,-,/,LDQ20,PL23D/PCLKC7_0/-/LDQ20,K2
49,6,PL26A,/,PCLKT6_1,/,HS+,/,LDQ32,PL26A/PCLKT6_1/HS+/LDQ32,L1
51,6,PL26C,/,PCLKT6_0,/,+,/,LDQ32,PL26C/PCLKT6_0/+/LDQ32,M1
52,6,PL26B,/,PCLKC6_1,/,HS-,/,LDQ32,PL26B/PCLKC6_1/HS-/LDQ32,L2
